Toronto — Average Rent by Bedroom Type by Neighbourhood
October 2011 Row / Apartment
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
Agincourt/Malvern,**,,940,a ,"1,100",a ,"1,318",a ,"1,107",a ,
Ajax/Pickering,**,,914,c ,"1,035",a ,"1,155",a ,"1,096",a ,
Alderwood,**,,914,b ,"1,105",b ,**,,"1,084",b ,
Aurora,**,,930,a ,"1,094",c ,**,,"1,078",b ,
Banbury-Don Mills/York Mills,801,a ,903,a ,"1,050",a ,"1,324",c ,977,a ,
Bathurst Manor,644,b ,966,a ,"1,098",a ,"1,266",b ,"1,081",a ,
Bay Street Corridor,"1,203",a ,"1,624",b ,"2,271",b ,"4,546",b ,"1,876",b ,
Bayview Village,**,,"1,147",b ,"1,380",b ,**,,"1,381",b ,
Bayview Woods-Steeles/Hillcrest Village,**,,**,,**,,**,,**,,
Bedford Park-Nortown,772,a ,868,b ,"1,109",a ,"1,318",c ,950,a ,
Beechborough-Greenbrook,651,a ,775,a ,973,b ,**,,882,b ,
Bendale East,708,a ,836,a ,**,,"1,175",a ,933,a ,
Bendale West,**,,850,a ,953,a ,"1,053",b ,963,a ,
Birchcliffe-Cliffside,779,a ,912,a ,"1,101",b ,**,,979,a ,
Black Creek,709,a ,842,a ,973,a ,"1,169",a ,973,a ,
Bradford/West Gwillimbury/New Tecumseth,673,a ,838,a ,977,a ,"1,102",a ,929,a ,
Brampton (East),833,a ,"1,019",a ,"1,144",a ,"1,266",a ,"1,124",a ,
Brampton (West),703,a ,915,a ,"1,050",a ,"1,183",a ,"1,008",a ,
Briar Hill-Belgravia,673,c ,921,a ,"1,144",a ,"1,362",a ,"1,037",a ,
Broadview North,756,a ,886,a ,"1,123",a ,**,,940,a ,
Bronte,**,,"1,065",a ,"1,220",a ,**,,"1,158",b ,
Brookhaven-Amesbury,677,a ,822,a ,973,a ,"1,209",a ,936,a ,
Cabbagetown-South St. James Town,698,b ,"1,019",b ,"1,552",a ,**,,"1,065",b ,
Caledon,**,,**,,**,,**,,**,,
Caledonia-Fairbank,681,d ,776,b ,957,b ,**,,822,b ,
Casa Loma,857,a ,"1,159",a ,"1,697",b ,"2,554",b ,"1,492",b ,
Churchill Meadows/Erin Mills,768,a ,912,a ,"1,061",a ,"1,400",a ,"1,141",a ,
Church-Yonge Corridor,893,a ,"1,154",a ,"1,534",a ,**,,"1,150",a ,
Clairlea-Birchmount,675,a ,849,a ,957,a ,"1,138",b ,920,a ,
Clanton Park,662,a ,840,a ,"1,027",a ,**,,892,a ,
Clarkson/Lorne Park,806,a ,972,a ,"1,114",a ,"1,305",a ,"1,075",a ,
Cliffcrest East,**,,**,,**,,**,,**,,
Cliffcrest West,757,a ,906,a ,"1,008",a ,"1,225",a ,983,a ,
Cooksville,723,b ,947,a ,"1,119",a ,"1,251",a ,"1,047",a ,
Crescent Town,716,a ,855,a ,"1,058",a ,"1,298",a ,935,a ,
Danforth Village-East York,686,a ,827,a ,"1,013",b ,**,,891,a ,
Don Valley Village/Pleasant View,785,b ,943,a ,"1,093",a ,"1,304",a ,"1,106",a ,
Dorset Park,**,,868,b ,994,a ,"1,101",a ,979,a ,
Dovercourt/Davenport/Junction,575,a ,830,c ,"1,066",c ,**,,865,c ,
Downsview,659,a ,813,a ,963,a ,"1,153",a ,920,a ,
Dufferin Grove/Little Portugal,653,c ,979,d ,"1,462",d ,**,,977,d ,
East End-Danforth,751,a ,884,a ,"1,138",a ,**,,967,a ,
East Gwillimbury/Newmarket,677,a ,938,a ,"1,019",a ,"1,199",c ,968,a ,
Edenbridge-Humber Valley,**,,885,b ,"1,089",b ,"1,562",b ,"1,073",b ,
Eglinton East (East),**,,**,,**,,**,,**,,
Eglinton East (West),759,a ,847,a ,985,a ,"1,131",a ,968,a ,
Elms-Old Rexdale,**,,"1,005",a ,"1,090",a ,"1,302",a ,"1,148",a ,
Englemount-Lawrence,722,a ,899,a ,"1,110",b ,"1,428",b ,"1,075",b ,
Eringate-Centennial-West Deane,**,,**,,"1,047",b ,"1,181",b ,"1,021",b ,
Etobicoke West Mall,**,,955,a ,"1,110",a ,"1,323",a ,"1,117",a ,
Flemingdon Park,**,,909,a ,"1,055",a ,"1,265",a ,"1,040",a ,
Forest Hill North,800,a ,"1,015",a ,"1,240",a ,"1,749",b ,"1,140",a ,
Forest Hill South,788,a ,"1,041",a ,"1,448",b ,"1,827",b ,"1,218",a ,
Georgina,**,,733,a ,783,a ,879,a ,792,a ,
Guildwood,**,,919,a ,"1,053",a ,"1,251",a ,"1,033",a ,
Henry Farm,**,,997,a ,"1,139",a ,"1,313",a ,"1,138",a ,
High Park North/Junction,861,a ,"1,093",a ,"1,487",a ,"1,963",b ,"1,151",a ,
High Park-Swansea,658,b ,977,b ,"1,099",b ,**,,"1,008",b ,
Humber Heights-Westmount,**,,**,,"1,177",c ,**,,"1,124",c ,
Humewood-Cedarvale,780,a ,988,a ,"1,357",b ,**,,"1,100",b ,
Ionview,716,a ,850,a ,982,a ,"1,190",a ,927,a ,
