ID,Neighbourhoods,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,ID_,Total_
"32",Agincourt/Malvern,"62.1","40.2","33.8","48.9","0.0","24.4","32",24.4
"137",Alderwood,"57.6","28.8","16.7","44.0","0.0","12.5","137",12.5
"111",Banbury-Don Mills/York Mills,"54.2","35.5","23.4","42.5","0.0","13.4","111",13.4
"119",Bathurst Manor,"66.8","37.7","26.8","53.2","0.0","24.8","119",24.8
"5",Bay Street Corridor,"38.2","30.9","35.1","32.8","0.0","15.5","5",15.5
"133",Bayview Village,"52.1","34.8","33.9","41.6","0.0","17.2","133",17.2
"135",Bayview Woods-Steeles/Hillcrest Village,"61.2","41.8","40.0","53.2","0.0","22.0","135",22.0
"114",Bedford Park-Nortown,"53.1","31.9","30.9","42.8","0.0","13.3","114",13.3
"76",Beechborough-Greenbrook,"83.8","48.0","40.9","60.7","0.0","33.0","76",33.0
"7",Bendale,"66.7","51.1","43.6","53.7","0.0","22.2","7",22.2
"37",Birchcliffe-Cliffside,"60.5","37.3","36.4","49.5","0.0","18.7","37",18.7
"155",Black Creek,"79.7","54.1","56.6","61.0","0.0","33.2","155",33.2
"51",Briar Hill-Belgravia,"70.3","42.9","35.8","51.7","0.0","26.6","51",26.6
"128",Broadview North,"79.6","54.5","40.7","60.6","0.0","33.7","128",33.7
"123",Brookhaven-Amesbury,"77.3","53.9","45.8","59.5","0.0","33.1","123",33.1
"85",Cabbagetown-South St. James Town,"59.9","34.0","25.8","47.2","0.0","20.0","85",20.0
"50",Caledonia-Fairbank,"61.3","36.9","42.9","45.9","0.0","24.7","50",24.7
"62",Casa Loma,"43.3","24.4","25.0","36.7","0.0","13.8","62",13.8
"39",Church-Yonge Corridor,"54.3","35.7","36.0","46.1","0.0","21.1","39",21.1
"69",Clairlea-Birchmount,"73.9","53.0","32.2","56.1","0.0","24.5","69",24.5
"120",Clanton Park,"73.6","37.9","33.3","54.6","0.0","25.5","120",25.5
"36",Cliffcrest,"69.5","51.4","45.1","56.6","0.0","20.9","36",20.9
"97",Danforth Village-East York,"65.6","33.1","30.6","49.2","0.0","20.6","97",20.6
"107",Don Valley Village/Pleasant View,"69.1","47.2","37.2","53.6","0.0","24.6","107",24.6
"33",Dorset Park,"68.0","51.5","55.3","56.1","0.0","30.3","33",30.3
"3",Dovercourt/Davenport/Junction,"61.6","45.0","38.0","50.0","0.0","24.5","3",24.5
"8",Downsview,"73.7","47.7","52.0","57.0","0.0","29.6","8",29.6
"105",Dufferin Grove/Little Portugal,"68.4","45.7","34.0","53.0","0.0","27.5","105",27.5
"94",East End-Danforth,"66.6","53.2","43.3","56.4","0.0","23.0","94",23.0
"146",Edenbridge-Humber Valley,"61.8","34.0","12.0","43.2","0.0","15.7","146",15.7
"25",Eglinton East,"76.5","53.0","49.6","60.1","0.0","32.7","25",32.7
"150",Elms-Old Rexdale,"66.1","48.4","40.0","50.9","0.0","24.7","150",24.7
"121",Englemount-Lawrence,"71.4","48.0","60.2","60.1","0.0","29.1","121",29.1
"144",Eringate-Centennial-West Deane,"62.1","42.0","34.2","47.7","0.0","14.4","144",14.4
"142",Etobicoke West Mall,"70.0","44.5","33.7","54.2","0.0","19.4","142",19.4
"109",Flemingdon Park,"81.5","58.0","59.0","63.8","0.0","39.6","109",39.6
"56",Forest Hill North,"62.0","43.3","32.5","48.8","0.0","21.1","56",21.1
"57",Forest Hill South,"41.3","17.7","13.5","29.5","0.0","8.4","57",8.4
"23",Guildwood,"55.1","38.9","8.6","42.7","0.0","12.0","23",12.0
"132",Henry Farm,"76.7","47.3","35.6","53.5","0.0","30.8","132",30.8
"100",High Park North/Junction,"60.2","40.3","33.1","47.6","0.0","20.4","100",20.4
"101",High Park-Swansea,"60.8","36.8","24.6","46.8","0.0","17.9","101",17.9
"147",Humber Heights-Westmount,"70.6","48.3","37.3","60.1","0.0","27.7","147",27.7
"53",Humewood-Cedarvale,"60.4","39.4","28.2","47.9","0.0","22.8","53",22.8
"34",Ionview,"78.9","48.0","57.6","60.6","0.0","33.1","34",33.1
"48",Islington/City Centre North,"68.3","38.5","39.7","51.8","0.0","22.2","48",22.2
"47",Islington/City Centre South,"52.2","18.0","22.5","39.7","0.0","12.3","47",12.3
"78",Keelesdale-Eglinton West,"71.2","35.1","50.8","53.0","0.0","25.1","78",25.1
"35",Kennedy Park,"72.4","49.4","42.9","58.1","0.0","29.3","35",29.3
"81",Kensington-Chinatown,"71.7","50.9","41.8","60.2","0.0","34.8","81",34.8
"149",Kingsview Village-The Westway,"69.9","51.7","39.2","54.3","0.0","26.6","149",26.6
"141",Kingsway South,"44.3","0.0","16.1","32.4","0.0","7.0","141",7.0
"74",Lambton Baby Point,"61.6","54.1","36.5","53.7","0.0","18.5","74",18.5
"16",L'Amoreaux/Steeles/Milliken,"69.1","43.3","38.9","53.8","0.0","26.0","16",26.0
"115",Lansing-Westgate,"52.4","37.5","28.0","41.6","0.0","16.3","115",16.3
"54",Lawrence Park North,"52.4","29.0","18.2","41.1","0.0","9.7","54",9.7
"55",Lawrence Park South,"42.7","28.3","18.8","32.7","0.0","8.2","55",8.2
"129",Leaside-Bennington,"49.2","36.7","18.2","42.2","0.0","10.2","129",10.2
"106",Little Italy/Trinity-Bellwoods,"58.4","36.3","32.0","46.0","0.0","21.3","106",21.3
"138",Long Branch,"68.2","44.7","37.5","53.5","0.0","23.3","138",23.3
"124",Maple Leaf,"79.0","43.7","37.0","58.6","0.0","26.0","124",26.0
"46",Mimico,"60.0","46.5","31.6","49.4","0.0","21.3","46",21.3
"27",Morningside,"75.7","60.1","53.5","62.6","0.0","33.3","27",33.3
"83",Moss Park/Regent Park,"72.7","64.2","67.6","67.2","0.0","35.3","83",35.3
"73",Mount Dennis,"67.9","48.3","59.2","55.2","0.0","33.7","73",33.7
"153",Mount Olive-Silverstone-Jamestown/Thistletown,"71.4","45.5","50.2","53.1","0.0","31.2","153",31.2
"59",Mount Pleasant East,"60.0","19.7","22.1","46.6","0.0","13.7","59",13.7
"139",New Toronto,"75.1","45.4","37.7","61.4","0.0","30.0","139",30.0
"82",North St. James Town,"85.2","55.7","58.2","66.4","0.0","45.3","82",45.3
"68",Oakridge,"83.2","74.1","62.4","72.1","0.0","43.1","68",43.1
"52",Oakwood-Vaughan,"69.8","45.4","38.0","54.4","0.0","27.5","52",27.5
"131",O'Connor-Parkview,"72.9","56.2","43.0","58.2","0.0","27.1","131",27.1
"98",Old East York,"69.1","49.2","45.5","56.4","0.0","18.6","98",18.6
"14",Parkwoods-Donalda,"71.4","48.1","39.0","55.1","0.0","24.7","14",24.7
"89",Playter Estates-Danforth,"64.2","43.1","31.4","51.2","0.0","20.6","89",20.6
"145",Princess-Rosethorn,"53.8","22.6","18.5","40.0","0.0","8.1","145",8.1
"151",Rexdale-Kipling,"75.8","41.9","44.8","57.5","0.0","25.2","151",25.2
"86",Riverdale,"61.8","52.2","31.5","51.3","0.0","22.8","86",22.8
"77",Rockcliffe-Smythe,"71.0","47.0","52.8","57.5","0.0","28.8","77",28.8
"102",Roncesvalles,"67.3","50.3","34.3","52.2","0.0","26.9","102",26.9
"60",Rosedale,"31.7","25.6","7.9","26.5","0.0","8.1","60",8.1
"125",Rustic/Pelmo Park/Humberlea,"70.4","57.7","47.5","58.8","0.0","26.9","125",26.9
