Toronto — Housing Standards (% of Households in Core Housing Need)  
2011 Tenure - Total
,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,
Agincourt/Malvern,64.1,36.5,33.7,49.2,0.0,23.1,
Ajax/Pickering,39.7,16.5,20.0,31.3,0.0,9.5,
Alderwood,63.9,23.5,29.4,42.1,0.0,13.1,
Aurora,41.0,23.1,8.4,33.2,0.0,7.9,
Banbury-Don Mills/York Mills,53.2,34.0,24.0,43.9,0.0,15.5,
Bathurst Manor,67.7,36.7,27.6,53.2,0.0,22.5,
Bay Street Corridor,35.4,18.1,17.4,29.1,0.0,14.0,
Bayview Village,43.3,38.4,26.2,35.5,0.0,15.0,
Bayview Woods-Steeles/Hillcrest Village,53.4,39.2,19.3,44.2,0.0,16.7,
Bedford Park-Nortown,56.9,39.7,15.2,44.3,0.0,15.0,
Beechborough-Greenbrook,85.4,52.9,31.6,63.4,0.0,31.0,
Bendale,60.6,39.6,41.7,47.0,0.0,20.2,
Birchcliffe-Cliffside,63.2,32.0,35.3,47.9,0.0,17.7,
Black Creek,78.8,45.1,39.5,56.8,0.0,30.8,
Bradford/West Gwillimbury/New Tecumseth,48.4,18.9,27.0,40.1,0.0,11.3,
Brampton (East),46.0,20.9,28.3,35.1,0.0,15.0,
Brampton (West),49.6,24.5,22.5,38.1,0.0,15.3,
Briar Hill-Belgravia,64.6,28.3,28.9,45.0,0.0,21.3,
Broadview North,80.1,49.7,41.7,60.9,0.0,30.8,
Bronte,55.5,16.7,20.9,48.7,0.0,13.0,
Brookhaven-Amesbury,79.4,56.6,51.8,62.4,0.0,32.8,
Cabbagetown-South St. James Town,54.5,25.0,30.2,43.2,0.0,17.1,
Caledon,40.3,10.1,13.2,31.1,0.0,8.0,
Caledonia-Fairbank,60.1,36.4,37.0,43.7,0.0,23.2,
Casa Loma,41.3,21.4,20.9,34.0,0.0,13.7,
Churchill Meadows/Erin Mills,46.6,24.1,32.2,37.7,0.0,11.9,
Church-Yonge Corridor,41.5,26.4,34.3,37.1,0.0,16.3,
Clairlea-Birchmount,60.1,40.3,48.0,48.6,0.0,20.3,
Clanton Park,55.5,31.7,26.5,41.4,0.0,17.4,
Clarkson/Lorne Park,54.8,35.5,23.5,42.6,0.0,13.5,
Cliffcrest,63.3,50.0,45.5,52.8,0.0,17.9,
Cooksville,71.3,45.8,33.5,53.2,0.0,25.2,
Crescent Town,81.3,49.1,57.6,58.6,0.0,35.0,
Danforth Village-East York,58.9,32.6,39.3,43.4,0.0,16.1,
Don Valley Village/Pleasant View,69.3,42.6,28.2,53.0,0.0,23.7,
Dorset Park,70.0,31.3,43.0,48.3,0.0,24.4,
Dovercourt/Davenport/Junction,63.9,35.9,28.6,47.5,0.0,22.2,
Downsview,70.1,40.2,49.0,53.4,0.0,27.2,
Dufferin Grove/Little Portugal,61.8,35.7,29.9,47.9,0.0,22.3,
East End-Danforth,60.5,39.5,44.9,48.5,0.0,18.8,
East Gwillimbury/Newmarket,46.9,24.4,19.9,38.0,0.0,10.3,
Edenbridge-Humber Valley,61.9,28.1,18.6,46.2,0.0,19.3,
Eglinton East,77.7,49.0,59.5,61.5,0.0,34.3,
Elms-Old Rexdale,62.0,44.7,54.1,50.5,0.0,25.9,
Englemount-Lawrence,70.3,42.2,55.8,57.6,0.0,27.3,
Eringate-Centennial-West Deane,57.1,40.2,21.1,46.3,0.0,14.5,
Etobicoke West Mall,61.4,39.7,37.0,49.0,0.0,19.0,
Flemingdon Park,74.2,49.1,46.7,56.0,0.0,32.9,
Forest Hill North,61.2,39.0,25.4,45.5,0.0,19.8,
Forest Hill South,43.7,36.0,12.7,33.8,0.0,10.5,
Georgina,51.7,25.0,32.7,41.8,0.0,14.9,
Guildwood,56.0,40.0,11.1,44.3,0.0,11.7,
Henry Farm,74.2,46.9,34.2,52.6,0.0,27.6,
High Park North/Junction,49.2,26.2,31.8,38.2,0.0,15.5,
High Park-Swansea,55.2,25.0,16.8,41.8,0.0,15.9,
Humber Heights-Westmount,66.0,43.7,40.3,52.3,0.0,21.8,
Humewood-Cedarvale,64.1,29.2,34.4,49.9,0.0,23.1,
Ionview,77.2,46.3,39.5,57.7,0.0,31.6,
Islington/City Centre North,58.4,37.7,33.6,44.9,0.0,18.3,
Islington/City Centre South,42.4,19.1,18.9,34.2,0.0,11.1,
Keelesdale-Eglinton West,65.9,28.5,28.6,47.8,0.0,23.9,
Kennedy Park,71.0,50.0,55.6,59.6,0.0,29.6,
Kensington-Chinatown,56.1,41.4,41.6,48.2,0.0,25.0,
Kingsview Village-The Westway,77.5,48.3,32.5,57.5,0.0,29.0,
Kingsway South,39.8,0.0,12.1,28.4,0.0,6.7,
Lambton Baby Point,56.7,39.4,33.6,43.5,0.0,14.5,
L'Amoreaux/Steeles/Milliken,69.8,38.5,37.7,53.2,0.0,24.6,
Lansing-Westgate,47.6,44.5,25.3,37.7,0.0,15.8,
Lawrence Park North,39.5,22.6,13.0,30.1,0.0,7.1,
Lawrence Park South,37.3,8.5,13.8,26.0,0.0,7.5,
Leaside-Bennington,53.3,35.8,24.2,42.1,0.0,11.2,
Little Italy/Trinity-Bellwoods,52.7,25.1,28.7,41.2,0.0,18.5,
Long Branch,67.6,29.2,32.9,50.7,0.0,22.4,
Malton,64.2,39.7,25.0,48.4,0.0,25.0,
Maple Leaf,80.0,44.3,41.1,56.5,0.0,24.9,
Markham,49.7,24.8,21.8,40.0,0.0,13.3,
Meadowvale,42.5,20.4,12.0,32.1,0.0,10.5,
Milton/Halton Hills,38.4,15.9,20.1,30.6,0.0,7.6,
Mimico,55.0,33.9,36.6,46.3,0.0,18.3,
Mississauga Centre/Streetsville,51.3,29.7,29.1,39.2,0.0,16.1,
Moore Park,39.5,18.6,13.5,28.3,0.0,9.9,
Morningside,70.9,44.2,58.9,56.5,0.0,30.5,
Moss Park/Regent Park,60.2,48.9,61.5,55.3,0.0,25.2,
Mount Dennis,69.3,48.2,35.2,55.0,0.0,32.9,
Mount Olive-Silverstone-Jamestown/Thistletown,72.9,41.6,55.8,52.7,0.0,29.3,
Mount Pleasant East,47.5,13.8,22.5,37.2,0.0,10.8,
Mount Pleasant West,50.5,28.8,26.6,40.4,0.0,16.5,
New Toronto,74.5,50.9,38.5,60.5,0.0,26.7,
North St. James Town,73.1,47.2,66.8,58.9,0.0,33.7,
Oakridge,84.6,60.2,60.8,66.9,0.0,40.0,
Oakville (excl. Bronte),39.5,21.8,20.9,32.8,0.0,8.4,
Oakwood-Vaughan,67.8,35.8,25.2,49.2,0.0,23.9,
O'Connor-Parkview,74.3,51.6,44.1,57.5,0.0,25.8,
Old East York,66.7,22.6,24.1,45.4,0.0,15.9,
Orangeville/Mono,51.7,25.2,21.7,40.3,0.0,11.8,
Parkwoods-Donalda,67.8,49.2,32.1,52.1,0.0,23.2,
Playter Estates-Danforth,54.7,35.0,33.1,46.0,0.0,16.9,
Port Credit,52.9,30.0,20.0,40.9,0.0,13.5,
Princess-Rosethorn,41.3,34.3,0.0,34.3,0.0,8.0,
Rexdale-Kipling,70.0,24.7,58.5,54.1,0.0,23.8,
Richmond Hill/Vaughan/King,43.2,19.6,22.2,36.1,0.0,11.6,
Riverdale,54.6,35.4,33.9,45.0,0.0,17.4,
Rockcliffe-Smythe,66.1,40.4,32.6,48.7,0.0,22.9,
Roncesvalles,65.6,38.2,38.4,48.9,0.0,22.0,
Rosedale,29.6,16.7,0.0,24.3,0.0,8.0,
Rouge,50.3,18.8,26.3,36.7,0.0,9.8,
Rustic/Pelmo Park/Humberlea,71.5,47.5,52.7,55.8,0.0,24.1,
Scarborough Village,80.7,55.3,58.0,64.4,0.0,36.6,
South Parkdale/King West,55.2,41.5,37.6,46.2,0.0,22.1,
St. Andrew-Windfields,51.5,39.6,18.4,43.0,0.0,13.9,
Stonegate-Queensway,58.6,25.5,25.7,44.2,0.0,14.6,
Tam O'Shanter-Sullivan,77.5,50.0,41.2,61.0,0.0,29.4,
The Beaches,44.7,19.5,14.9,33.0,0.0,10.2,
Thorncliffe Park,82.6,58.9,53.5,63.7,0.0,45.0,
University/Annex,44.7,24.7,30.7,37.6,0.0,15.8,
Uxbridge,47.6,24.1,27.0,39.0,0.0,10.1,
Victoria Village,72.1,42.4,55.1,56.1,0.0,26.2,
Waterfront Communities-The Island,32.0,19.1,16.0,27.6,0.0,11.6,
West Hill,69.6,51.4,61.6,59.2,0.0,24.7,
West Humber-Clairville,52.2,24.9,21.5,36.6,0.0,16.5,
Westminster-Branson,72.5,40.8,46.4,55.6,0.0,32.7,
