ID,Neighbourhoods,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,ID_,Total_
"32",Agincourt/Malvern,"64.1","36.5","33.7","49.2","0.0","23.1","32",23.1
"137",Alderwood,"63.9","23.5","29.4","42.1","0.0","13.1","137",13.1
"111",Banbury-Don Mills/York Mills,"53.2","34.0","24.0","43.9","0.0","15.5","111",15.5
"119",Bathurst Manor,"67.7","36.7","27.6","53.2","0.0","22.5","119",22.5
"5",Bay Street Corridor,"35.4","18.1","17.4","29.1","0.0","14.0","5",14.0
"133",Bayview Village,"43.3","38.4","26.2","35.5","0.0","15.0","133",15.0
"135",Bayview Woods-Steeles/Hillcrest Village,"53.4","39.2","19.3","44.2","0.0","16.7","135",16.7
"114",Bedford Park-Nortown,"56.9","39.7","15.2","44.3","0.0","15.0","114",15.0
"76",Beechborough-Greenbrook,"85.4","52.9","31.6","63.4","0.0","31.0","76",31.0
"7",Bendale,"60.6","39.6","41.7","47.0","0.0","20.2","7",20.2
"37",Birchcliffe-Cliffside,"63.2","32.0","35.3","47.9","0.0","17.7","37",17.7
"155",Black Creek,"78.8","45.1","39.5","56.8","0.0","30.8","155",30.8
"51",Briar Hill-Belgravia,"64.6","28.3","28.9","45.0","0.0","21.3","51",21.3
"128",Broadview North,"80.1","49.7","41.7","60.9","0.0","30.8","128",30.8
"123",Brookhaven-Amesbury,"79.4","56.6","51.8","62.4","0.0","32.8","123",32.8
"85",Cabbagetown-South St. James Town,"54.5","25.0","30.2","43.2","0.0","17.1","85",17.1
"50",Caledonia-Fairbank,"60.1","36.4","37.0","43.7","0.0","23.2","50",23.2
"62",Casa Loma,"41.3","21.4","20.9","34.0","0.0","13.7","62",13.7
"39",Church-Yonge Corridor,"41.5","26.4","34.3","37.1","0.0","16.3","39",16.3
"69",Clairlea-Birchmount,"60.1","40.3","48.0","48.6","0.0","20.3","69",20.3
"120",Clanton Park,"55.5","31.7","26.5","41.4","0.0","17.4","120",17.4
