Toronto — Vacancy Rates by Bedroom Type by Neighbourhood
October 2016 Row / Apartment
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
Agincourt/Malvern,**,,0.7,a ,0.4,a ,0.4,b ,0.5,a ,
Ajax/Pickering,**,,0.0,d ,6.7,b ,2.3,a ,4.4,a ,
Alderwood,0.0,d ,0.0,d ,**,,**,,**,,
Aurora,**,,0.0,d ,4.2,d ,2.0,c ,2.3,c ,
Banbury-Don Mills/York Mills,**,,0.6,b ,0.3,b ,0.4,b ,0.5,a ,
Bathurst Manor,**,,0.8,a ,1.5,c ,**,,1.3,a ,
Bay Street Corridor,0.8,a ,1.2,a ,2.1,b ,**,,1.4,a ,
Bayview Village,**,,2.7,b ,1.6,c ,**,,1.8,b ,
Bayview Woods-Steeles/Hillcrest Village,**,,0.6,a ,1.4,a ,0.2,b ,0.8,a ,
Bedford Park-Nortown,**,,1.1,a ,0.9,d ,0.0,d ,1.0,a ,
Beechborough-Greenbrook,**,,2.0,c ,**,,**,,1.8,c ,
Bendale,**,,**,,1.4,a ,2.9,c ,2.0,c ,
Birchcliffe-Cliffside,2.2,c ,1.7,c ,**,,**,,1.9,c ,
Black Creek,**,,1.2,a ,0.3,a ,0.6,a ,0.6,a ,
Bradford/West Gwillimbury/New Tecumseth,0.0,d ,1.1,d ,2.3,c ,0.0,d ,1.6,c ,
Brampton (East),0.0,a ,1.1,a ,1.2,a ,0.7,a ,1.1,a ,
Brampton (West),3.1,d ,1.3,a ,1.1,a ,2.0,c ,1.3,a ,
Briar Hill-Belgravia,**,,1.8,c ,1.1,a ,0.0,d ,1.4,a ,
Broadview North,1.0,a ,1.6,b ,0.7,a ,**,,1.3,a ,
Bronte,**,,1.4,a ,1.4,a ,**,,1.3,a ,
Brookhaven-Amesbury,**,,0.4,b ,0.5,a ,0.6,b ,0.6,a ,
Cabbagetown-South St. James Town,0.0,d ,4.1,d ,3.6,d ,**,,3.5,d ,
Caledon,**,,**,,**,,**,,**,,
Caledonia-Fairbank,**,,1.0,d ,4.2,d ,**,,2.7,c ,
Casa Loma,**,,1.5,a ,0.2,b ,2.8,a ,1.3,a ,
Churchill Meadows/Erin Mills,0.0,d ,0.0,d ,0.4,a ,2.0,a ,0.9,a ,
Church-Yonge Corridor,1.1,a ,0.8,a ,0.6,b ,**,,0.9,a ,
Clairlea-Birchmount,3.6,c ,**,,**,,**,,**,,
Clanton Park,0.0,d ,1.1,a ,1.6,b ,**,,1.3,a ,
Clarkson/Lorne Park,2.0,c ,1.2,a ,1.1,a ,1.3,a ,1.2,a ,
Cliffcrest,0.0,a ,1.1,a ,0.8,a ,**,,0.9,a ,
Cooksville,**,,0.8,a ,0.7,a ,**,,0.9,a ,
Crescent Town,1.1,a ,0.8,a ,0.5,a ,0.3,a ,0.7,a ,
Danforth Village-East York,0.0,d ,1.5,a ,**,,**,,1.6,c ,
Don Valley Village/Pleasant View,0.0,a ,0.8,a ,0.9,a ,1.0,a ,0.9,a ,
Dorset Park,**,,0.9,a ,0.4,a ,0.0,c ,0.8,a ,
Dovercourt/Davenport/Junction,**,,**,,0.6,b ,**,,0.7,b ,
Downsview,3.5,c ,1.3,a ,3.4,d ,**,,3.4,c ,
Dufferin Grove/Little Portugal,1.3,d ,0.5,a ,0.4,b ,**,,0.9,a ,
East End-Danforth,2.7,c ,0.7,a ,2.4,c ,**,,1.8,b ,
East Gwillimbury/Newmarket,0.0,d ,2.8,c ,0.6,b ,0.0,d ,1.5,a ,
Edenbridge-Humber Valley,0.0,d ,0.4,a ,0.7,a ,1.4,a ,0.7,a ,
Eglinton East,**,,0.8,a ,0.8,a ,0.2,b ,0.7,a ,
Elms-Old Rexdale,**,,**,,**,,**,,**,,
Englemount-Lawrence,**,,1.3,a ,0.7,b ,0.5,b ,1.0,a ,
Eringate-Centennial-West Deane,**,,**,,**,,**,,**,,
Etobicoke West Mall,5.7,a ,2.6,b ,1.8,a ,1.4,a ,2.0,a ,
Flemingdon Park,**,,0.4,b ,1.1,a ,2.3,a ,1.0,a ,
Forest Hill North,**,,0.7,a ,0.7,a ,0.5,b ,0.8,a ,
Forest Hill South,4.2,d ,1.0,a ,0.0,d ,0.0,d ,1.0,a ,
Georgina,**,,**,,**,,1.3,a ,**,,
Guildwood,**,,**,,**,,**,,**,,
Henry Farm,**,,0.5,a ,0.5,a ,0.4,a ,0.5,a ,
High Park North/Junction,**,,2.8,c ,3.5,d ,**,,3.5,d ,
High Park-Swansea,**,,0.8,d ,**,,**,,0.8,a ,
Humber Heights-Westmount,**,,1.5,d ,0.3,a ,**,,0.6,a ,
Humewood-Cedarvale,1.8,c ,2.2,c ,3.3,d ,**,,2.7,b ,
Ionview,2.9,c ,1.3,a ,0.3,a ,**,,0.9,a ,
Islington/City Centre North,0.0,c ,1.2,a ,0.4,a ,1.7,c ,0.9,a ,
Islington/City Centre South,0.0,d ,**,,0.0,d ,**,,0.1,b ,
Keelesdale-Eglinton West,**,,**,,**,,**,,**,,
Kennedy Park,**,,1.2,a ,**,,**,,1.9,c ,
Kensington-Chinatown,0.0,d ,0.0,d ,**,,**,,**,,
Kingsview Village-The Westway,**,,1.4,a ,1.1,a ,3.1,c ,1.6,b ,
Kingsway South,**,,0.0,d ,0.0,d ,**,,0.4,b ,
Lambton Baby Point,**,,0.4,b ,0.0,d ,**,,0.2,b ,
L'Amoreaux/Steeles/Milliken,**,,2.1,b ,1.8,a ,1.0,d ,1.7,a ,
Lansing-Westgate,7.0,a ,1.0,a ,1.0,a ,0.7,a ,1.1,a ,
Lawrence Park North,5.3,c ,0.8,a ,0.3,b ,**,,1.1,a ,
Lawrence Park South,0.0,d ,0.3,b ,**,,**,,**,,
Leaside-Bennington,**,,2.7,c ,0.5,b ,**,,1.7,b ,
Little Italy/Trinity-Bellwoods,**,,**,,**,,**,,**,,
Long Branch,0.0,d ,0.6,b ,**,,0.0,d ,1.3,d ,
Malton,**,,**,,1.4,a ,0.8,a ,1.0,a ,
Maple Leaf,**,,1.7,c ,0.5,a ,**,,0.9,a ,
Markham,**,,1.2,a ,1.3,d ,**,,1.4,a ,
Meadowvale,**,,0.9,a ,0.8,a ,0.6,a ,0.8,a ,
Milton/Halton Hills,**,,1.6,c ,0.6,a ,**,,1.1,a ,
Mimico,0.5,b ,1.1,d ,**,,0.0,d ,0.6,b ,
Mississauga Centre/Streetsville,0.5,b ,1.9,a ,2.2,a ,1.8,c ,2.0,a ,
Moore Park,0.0,d ,0.6,b ,1.3,d ,0.0,d ,0.7,b ,
Morningside,**,,0.2,b ,0.5,b ,**,,0.5,b ,
Moss Park/Regent Park,0.7,b ,1.1,a ,**,,**,,1.3,a ,
Mount Dennis,**,,1.0,d ,**,,**,,1.2,a ,
Mount Olive-Silverstone-Jamestown/Thistletown,**,,0.6,b ,0.7,a ,1.1,a ,0.8,a ,
Mount Pleasant East,1.6,c ,0.6,a ,0.2,b ,**,,0.9,a ,
Mount Pleasant West,0.4,a ,0.7,a ,2.3,c ,0.0,d ,1.0,a ,
New Toronto,**,,0.5,b ,0.5,b ,**,,0.4,b ,
North St. James Town,1.1,d ,1.7,a ,1.4,a ,1.1,a ,1.5,a ,
Oakridge,**,,1.4,a ,2.7,b ,**,,1.9,b ,
Oakville (excl. Bronte),**,,1.0,a ,2.0,a ,3.0,a ,1.8,a ,
Oakwood-Vaughan,**,,1.8,c ,**,,**,,1.9,c ,
O'Connor-Parkview,**,,2.1,c ,1.4,a ,**,,2.0,b ,
Old East York,0.0,d ,0.3,b ,0.0,d ,**,,0.2,b ,
Orangeville/Mono,**,,0.8,d ,1.4,a ,**,,0.9,a ,
Parkwoods-Donalda,0.0,c ,1.0,a ,0.4,a ,1.3,a ,0.8,a ,
Playter Estates-Danforth,0.0,d ,1.4,a ,**,,**,,1.4,a ,
Port Credit,0.0,d ,1.4,a ,1.5,a ,1.6,c ,1.4,a ,
Princess-Rosethorn,**,,0.0,a ,0.0,a ,3.6,a ,0.8,a ,
Rexdale-Kipling,0.0,d ,**,,0.5,b ,0.3,a ,0.7,a ,
Richmond Hill/Vaughan/King,0.0,d ,0.6,a ,1.8,c ,0.0,d ,1.1,a ,
Riverdale,**,,0.8,d ,**,,**,,0.6,b ,
Rockcliffe-Smythe,0.0,d ,1.9,c ,0.9,d ,**,,1.2,a ,
Roncesvalles,**,,**,,1.4,a ,0.0,d ,2.6,c ,
Rosedale,**,,0.5,b ,1.2,a ,0.0,d ,0.8,d ,
Rouge,**,,**,,2.4,c ,**,,2.3,b ,
Rustic/Pelmo Park/Humberlea,**,,**,,1.2,a ,**,,1.0,a ,
Scarborough Village,**,,1.1,a ,2.3,c ,**,,2.3,c ,
South Parkdale/King West,0.6,a ,1.7,c ,2.1,c ,**,,1.5,a ,
St. Andrew-Windfields,0.0,a ,2.7,b ,1.7,c ,3.6,d ,2.4,b ,
Stonegate-Queensway,**,,2.1,c ,0.6,a ,0.0,d ,1.2,a ,
Tam O'Shanter-Sullivan,10.4,a ,1.5,a ,1.3,a ,1.8,c ,1.5,a ,
The Beaches,0.0,c ,0.5,b ,**,,0.0,d ,0.3,b ,
Thorncliffe Park,**,,1.8,a ,0.8,a ,1.5,a ,1.4,a ,
University/Annex,**,,1.5,a ,0.6,b ,**,,1.8,c ,
Uxbridge,**,,**,,0.0,d ,**,,0.7,b ,
Victoria Village,3.0,d ,0.8,a ,0.4,a ,**,,0.6,a ,
Waterfront Communities -The Island,**,,2.2,b ,0.0,d ,**,,1.2,a ,
West Hill,**,,0.0,d ,**,,**,,0.0,d ,
West Humber-Clairville,**,,3.5,d ,0.5,b ,**,,1.1,a ,
Westminster-Branson,**,,1.2,a ,0.7,a ,1.0,a ,0.9,a ,
Weston,**,,1.0,a ,0.5,a ,**,,0.8,a ,
Wexford-Maryvale,3.3,d ,1.2,a ,0.8,a ,0.0,d ,1.0,a ,
Whitchurch/Stouffville,**,,0.0,c ,2.6,c ,**,,1.6,c ,
Willowdale East/Newtonbrook East,**,,2.0,a ,2.8,a ,2.6,b ,2.5,a ,
Willowdale West/Newtonbrook West,**,,0.2,a ,0.1,b ,0.0,d ,0.1,b ,
