Toronto — Vacancy Rates by Bedroom Type by Neighbourhood
October 2011 Row / Apartment
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
Agincourt/Malvern,**,,0.4,b ,1.0,a ,**,,0.7,a ,
Ajax/Pickering,**,,0.0,d ,3.3,c ,2.8,c ,2.9,b ,
Alderwood,**,,0.0,d ,**,,**,,**,,
Aurora,**,,**,,0.0,d ,**,,**,,
Banbury-Don Mills/York Mills,0.0,d ,1.1,a ,0.7,a ,4.8,d ,1.2,a ,
Bathurst Manor,**,,1.6,c ,0.6,a ,0.5,b ,1.0,a ,
Bay Street Corridor,0.8,a ,2.2,b ,0.7,a ,3.5,a ,1.6,b ,
Bayview Village,**,,3.0,c ,1.9,c ,**,,1.8,c ,
Bayview Woods-Steeles/Hillcrest Village,**,,**,,0.3,b ,2.2,b ,0.9,a ,
Bedford Park-Nortown,4.2,d ,1.2,a ,0.7,b ,0.0,d ,1.1,a ,
Beechborough-Greenbrook,**,,**,,3.6,d ,**,,4.2,d ,
Bendale East,**,,**,,**,,**,,**,,
Bendale West,**,,**,,0.2,b ,**,,0.1,b ,
Birchcliffe-Cliffside,**,,1.8,c ,0.5,b ,**,,1.3,a ,
Black Creek,**,,3.6,a ,2.2,a ,2.2,c ,2.6,a ,
Bradford/West Gwillimbury/New Tecumseth,0.0,d ,0.8,d ,0.6,a ,0.0,d ,0.6,a ,
Brampton (East),0.0,a ,1.8,a ,0.8,a ,1.1,a ,1.1,a ,
Brampton (West),4.6,d ,2.0,b ,1.0,a ,3.4,c ,1.7,a ,
Briar Hill-Belgravia,**,,0.0,d ,0.0,d ,0.0,d ,0.1,b ,
Broadview North,0.8,d ,1.4,a ,1.4,a ,**,,1.3,a ,
Bronte,**,,0.8,a ,1.4,a ,**,,1.1,a ,
Brookhaven-Amesbury,**,,2.5,c ,1.9,c ,0.4,a ,2.2,b ,
Cabbagetown-South St. James Town,**,,0.1,b ,0.4,b ,**,,0.6,b ,
Caledon,**,,21.9,a ,**,,**,,7.9,b ,
Caledonia-Fairbank,0.0,d ,2.0,c ,**,,**,,1.4,d ,
Casa Loma,**,,1.1,a ,0.6,a ,3.0,d ,1.5,a ,
Churchill Meadows/Erin Mills,0.0,d ,2.2,a ,1.9,a ,1.5,a ,1.8,a ,
Church-Yonge Corridor,0.6,a ,1.0,a ,1.2,a ,**,,0.9,a ,
Clairlea-Birchmount,**,,1.1,a ,1.3,a ,**,,1.2,a ,
Clanton Park,**,,1.8,b ,**,,**,,1.5,a ,
Clarkson/Lorne Park,6.7,c ,0.9,a ,1.0,a ,1.4,a ,1.3,a ,
Cliffcrest East,**,,**,,**,,**,,**,,
Cliffcrest West,16.1,a ,3.9,a ,1.1,a ,**,,2.1,a ,
Cooksville,**,,0.9,a ,1.0,a ,**,,1.0,a ,
Crescent Town,1.6,a ,0.8,a ,2.0,c ,1.2,d ,1.2,a ,
Danforth Village-East York,0.0,d ,0.4,b ,0.0,d ,**,,0.2,b ,
Don Valley Village/Pleasant View,0.0,c ,0.1,b ,0.5,a ,0.7,a ,0.4,a ,
Dorset Park,**,,**,,1.4,d ,**,,**,,
Dovercourt/Davenport/Junction,2.6,c ,**,,**,,**,,4.8,d ,
Downsview,3.0,a ,2.8,a ,1.9,a ,2.2,a ,2.3,a ,
