ID,field_2,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"32",Agincourt/Malvern,"419718","362225","286711","384207","344484","191951","313332","351513","32","351513"
"137",Alderwood,"489760","427878","379229","459718","484452","298028","0","475742","137","475742"
"111",Banbury-Don Mills/York Mills,"1368316","470583","507991","851641","700778","422441","0","970229","111","970229"
"119",Bathurst Manor,"631027","449906","410767","578770","514805","316823","0","557627","119","557627"
"5",Bay Street Corridor,"0","0","0","0","420292","468900","0","470996","5","470996"
"133",Bayview Village,"845016","586611","373858","944339","437123","405413","0","599520","133","599520"
"135",Bayview Woods-Steeles/Hillcrest Village,"676599","412992","344740","565654","361233","423674","0","506530","135","506530"
"114",Bedford Park-Nortown,"1147067","930428","706060","1051648","822424","498195","0","1034387","114","1034387"
"76",Beechborough-Greenbrook,"458643","392963","0","347735","0","195396","0","412378","76","412378"
"7",Bendale,"372675","299906","314776","344847","335734","261074","258979","334773","7","334773"
"37",Birchcliffe-Cliffside,"504122","381848","421231","494803","376235","388314","351093","486184","37","486184"
"155",Black Creek,"441059","370909","271538","468620","343800","177715","0","344662","155","344662"
"51",Briar Hill-Belgravia,"464004","447619","445702","491659","397666","239335","0","406371","51","406371"
"128",Broadview North,"561234","450029","557417","511934","506653","393775","0","492919","128","492919"
"123",Brookhaven-Amesbury,"470939","376815","0","487434","297343","177017","0","390160","123","390160"
"85",Cabbagetown-South St. James Town,"796184","753976","700874","857673","631943","333367","0","549326","85","549326"
"50",Caledonia-Fairbank,"403822","401773","0","376709","445947","0","0","402135","50","402135"
"62",Casa Loma,"1637880","1041850","1038772","2103033","617498","629349","0","1090696","62","1090696"
"39",Church-Yonge Corridor,"0","466236","749155","668339","679470","431737","0","451500","39","451500"
"69",Clairlea-Birchmount,"396326","400102","410963","406931","334858","507462","337821","394176","69","394176"
"120",Clanton Park,"684405","0","0","582447","546584","302203","0","613197","120","613197"
"36",Cliffcrest,"488483","273059","359878","397816","369361","272567","0","464068","36","464068"
"97",Danforth Village-East York,"486860","436885","391543","537382","427374","0","0","468801","97","468801"
"107",Don Valley Village/Pleasant View,"585321","428708","330717","548393","413936","258984","0","429971","107","429971"
"33",Dorset Park,"355304","284662","306604","348031","300668","175577","0","291278","33","291278"
"3",Dovercourt/Davenport/Junction,"540574","425311","419630","516065","444162","348333","363337","461330","3","461330"
"105",Dufferin Grove/Little Portugal,"640319","546916","535657","646094","583782","302876","0","559455","105","559455"
"94",East End-Danforth,"579558","491267","511856","525654","545052","189184","0","531476","94","531476"
"146",Edenbridge-Humber Valley,"1034639","422124","365398","1510404","445291","324566","0","885132","146","885132"
"25",Eglinton East,"375199","357942","289828","369572","377636","187654","319267","299023","25","299023"
"150",Elms-Old Rexdale,"366593","321349","212101","466201","362285","152282","0","298328","150","298328"
"121",Englemount-Lawrence,"821543","0","416558","776677","364741","336566","0","632514","121","632514"
"144",Eringate-Centennial-West Deane,"522718","428908","379162","458418","0","206739","0","442233","144","442233"
"142",Etobicoke West Mall,"594777","393482","336978","507683","0","231822","0","399598","142","399598"
"109",Flemingdon Park,"0","609786","397146","0","187755","213703","0","231020","109","231020"
"56",Forest Hill North,"1111728","1033396","0","519280","0","240156","0","946854","56","946854"
"57",Forest Hill South,"1739364","919978","853957","1851256","719970","439973","0","1435459","57","1435459"
"23",Guildwood,"446286","312377","289888","411742","0","340999","0","410650","23","410650"
"132",Henry Farm,"725290","0","320312","0","0","195502","0","411300","132","411300"
"100",High Park North/Junction,"712775","505274","421564","653583","568244","361367","0","569168","100","569168"
"101",High Park-Swansea,"869591","622866","434287","862062","655203","320172","0","648124","101","648124"
"147",Humber Heights-Westmount,"616593","408223","501304","545687","0","263191","0","499342","147","499342"
"53",Humewood-Cedarvale,"865650","528505","0","673056","471968","553747","0","750172","53","750172"
"34",Ionview,"365246","296639","312012","360432","306332","161036","0","319834","34","319834"
"48",Islington/City Centre North,"685095","419889","447897","460421","271144","366545","0","541107","48","541107"
"47",Islington/City Centre South,"603446","477588","542437","517528","645052","298023","0","473716","47","473716"
"78",Keelesdale-Eglinton West,"376097","375323","0","346497","298653","181673","0","358844","78","358844"
"35",Kennedy Park,"358823","364204","335585","412249","319080","198501","0","319331","35","319331"
"81",Kensington-Chinatown,"710579","707237","579736","546180","519196","395815","0","489709","81","489709"
"149",Kingsview Village-The Westway,"501681","320692","365031","538190","0","188588","0","376154","149","376154"
"141",Kingsway South,"1046440","482240","512485","1519143","960709","535385","0","937464","141","937464"
"74",Lambton Baby Point,"732679","446956","463618","696360","477003","0","0","632512","74","632512"
"16",L'Amoreaux/Steeles/Milliken,"501387","356755","298094","472960","406567","240318","342061","389200","16","389200"
"115",Lansing-Westgate,"870976","450245","0","688522","436573","383678","0","681742","115","681742"
"54",Lawrence Park North,"918831","674347","910246","746970","656225","431591","0","844253","54","844253"
"55",Lawrence Park South,"1321739","683758","0","1556819","503328","606203","0","1216283","55","1216283"
"129",Leaside-Bennington,"1007155","650682","664354","775043","379900","387472","0","896593","129","896593"
"106",Little Italy/Trinity-Bellwoods,"764474","632272","555509","653319","653698","397253","646264","633582","106","633582"
"138",Long Branch,"477622","460890","424381","515279","346142","218082","0","428946","138","428946"
"124",Maple Leaf,"534201","403439","366337","445586","335151","0","0","503876","124","503876"
"46",Mimico,"468320","430812","510150","406349","451628","405447","0","437462","46","437462"
"27",Morningside,"376511","343681","223536","373208","149367","152845","0","320389","27","320389"
"83",Moss Park/Regent Park,"0","636364","585307","711438","511858","368690","0","451915","83","451915"
"73",Mount Dennis,"350785","378176","298124","333195","318889","180337","0","291621","73","291621"
"153",Mount Olive-Silverstone-Jamestown/Thistletown,"414486","417255","284076","362980","318938","159481","0","324296","153","324296"
"59",Mount Pleasant East,"891946","681628","650813","865186","556779","318189","0","753065","59","753065"
"139",New Toronto,"485676","432054","361308","448277","456253","237762","0","453384","139","453384"
"82",North St. James Town,"0","0","605760","0","470713","411771","0","457435","82","457435"
"68",Oakridge,"365589","298548","0","343647","370726","209806","0","331652","68","331652"
"52",Oakwood-Vaughan,"498257","415224","0","456273","451027","0","0","469444","52","469444"
"131",O'Connor-Parkview,"538989","330071","355679","448232","421223","186954","0","490506","131","490506"
"98",Old East York,"508752","421700","0","437931","397827","0","0","492964","98","492964"
"14",Parkwoods-Donalda,"685267","437366","278612","563092","384042","217542","0","505459","14","505459"
"89",Playter Estates-Danforth,"702747","516256","569836","745942","582805","0","573035","600189","89","600189"
"145",Princess-Rosethorn,"851571","0","0","613571","0","0","0","851317","145","851317"
"151",Rexdale-Kipling,"415089","326282","0","328646","289211","0","0","401340","151","401340"
"86",Riverdale,"666232","606456","567104","665493","527519","419166","532250","587261","86","587261"
"77",Rockcliffe-Smythe,"418412","354639","344146","522545","492165","241284","0","384287","77","384287"
"102",Roncesvalles,"653400","544602","507530","636046","536866","359571","0","565810","102","565810"
"60",Rosedale,"2118906","1728665","1505105","1152888","913705","571480","0","1287138","60","1287138"
"125",Rustic/Pelmo Park/Humberlea,"537164","380622","360014","388648","392424","141229","0","489696","125","489696"
"24",Scarborough Village,"542671","335753","301241","839782","204138","190677","0","366694","24","366694"
"103",South Parkdale/King West,"835898","634140","473655","406484","485875","379599","0","422056","103","422056"
"113",St. Andrew-Windfields,"1306720","543251","564626","1125458","0","535733","0","1110755","113","1110755"
"140",Stonegate-Queensway,"639717","428688","538852","526377","371776","455473","0","611942","140","611942"
"71",Tam O'Shanter-Sullivan,"459252","353810","321464","382012","283500","299596","0","393477","71","393477"
"93",The Beaches,"931678","625147","634680","756074","602422","429097","0","740764","93","740764"
"130",Thorncliffe Park,"0","0","446676","0","355403","241809","0","283790","130","283790"
"80",University/Annex,"1037905","907003","792618","773536","777120","690427","1073107","803595","80","803595"
"110",Victoria Village,"534456","400026","374830","335900","231764","271812","0","391483","110","391483"
"40",Waterfront Communities-The Island,"308090","521216","528407","0","562355","415958","0","418977","40","418977"
"26",West Hill,"377372","296041","244707","346517","266755","162832","335135","316456","26","316456"
"154",West Humber-Clairville,"416951","360977","302387","464106","385994","227336","0","381612","154","381612"
"118",Westminster-Branson,"638995","431093","345849","503254","427586","268323","0","388356","118","388356"
"75",Weston,"404682","376116","369448","392505","324430","232527","0","342427","75","342427"
"70",Wexford-Maryvale,"391598","0","234923","403847","408194","185813","0","387243","70","387243"
"134",Willowdale East/Newtonbrook East,"861075","654223","643826","695855","424148","363988","0","545377","134","545377"
"116",Willowdale West/Newtonbrook West,"663947","433507","480563","618437","377150","348479","0","515022","116","515022"
"148",Willowridge-Martingrove-Richview,"558288","359085","461266","559089","0","244380","0","516160","148","516160"
"21",Woburn,"361246","306277","304348","336607","396741","245201","0","330961","21","330961"
"92",Woodbine Corridor/Greenwood-Coxwell,"502953","443326","471978","479427","446122","230652","430928","460547","92","460547"
"96",Woodbine-Lumsden,"425888","372283","430307","388809","308635","0","0","411256","96","411256"
"64",Wychwood,"855161","562377","437973","649511","536257","254629","0","629223","64","629223"
