Toronto — Average Value of Owner-occupied Dwellings ($)  
2016
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,
Agincourt/Malvern,"685,103","441,068","542,510","624,138","449,561","251,707","489,465","541,697",
Ajax/Pickering,"620,932","411,551","458,386","636,530","409,573","299,891",0,"563,774",
Alderwood,"698,060","523,728","620,504","682,965","716,315","215,812",0,"672,249",
Aurora,"951,810","605,305","612,983","833,635","485,268","412,922",0,"842,472",
Banbury-Don Mills/York Mills,"2,116,290","787,327","815,168","1,370,854","1,111,965","551,106",0,"1,421,557",
Bathurst Manor,"1,021,212","572,052","719,046","912,581","601,913","375,507",0,"853,584",
Bay Street Corridor,0,0,0,0,"715,421","638,786",0,"647,456",
Bayview Village,"1,606,287","578,594","918,553","1,460,356","643,769","446,741",0,"869,892",
Bayview Woods-Steeles/Hillcrest Village,"1,157,319","529,473","669,588","1,093,361","583,342","585,832",0,"834,055",
Bedford Park-Nortown,"1,812,216","956,680","1,237,777","1,668,469","939,652","717,772",0,"1,597,972",
Beechborough-Greenbrook,"671,428",0,"512,108","579,078","637,782","284,653",0,"603,157",
Bendale,"604,419","385,436","504,690","563,729","970,141","309,568",0,"506,208",
Birchcliffe-Cliffside,"759,330","560,973","601,250","649,860","577,824","524,557","695,010","720,817",
Black Creek,"611,482","311,215","516,908","670,447","503,966","143,282",0,"468,267",
Bradford/West Gwillimbury/New Tecumseth,"549,947","366,815","407,826","486,622","300,295","268,482","343,400","518,935",
Brampton (East),"672,128","400,388","525,698","633,313","416,213","236,252",0,"586,075",
Brampton (West),"616,792","425,585","476,155","588,988","455,640","296,197",0,"558,306",
Briar Hill-Belgravia,"625,120","685,408","560,013","646,748","581,961","303,348",0,"546,542",
Broadview North,"919,613","719,024","669,637","741,008","650,598","464,136",0,"726,197",
Bronte,"864,474","675,071","752,718","727,956","432,301","645,811",0,"805,495",
Brookhaven-Amesbury,"679,887",0,"553,477","624,734","425,118","236,515",0,"566,672",
Cabbagetown-South St. James Town,"1,377,604","977,688","1,080,015","1,450,581","797,405","399,995",0,"737,127",
Caledon,"772,131","481,755","517,925","793,186","582,544","483,822",0,"737,626",
Caledonia-Fairbank,"619,437",0,"619,333","641,871","684,044",0,0,"627,823",
Casa Loma,"2,419,618","1,446,774","1,389,523","2,314,633","1,220,219","981,627",0,"1,699,471",
