ID,Neighbourhoods,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"32",Agincourt/Malvern,"685103","441068","542510","624138","449561","251707","489465","541697","32","541697"
"137",Alderwood,"698060","523728","620504","682965","716315","215812","0","672249","137","672249"
"111",Banbury-Don Mills/York Mills,"2116290","787327","815168","1370854","1111965","551106","0","1421557","111","1421557"
"119",Bathurst Manor,"1021212","572052","719046","912581","601913","375507","0","853584","119","853584"
"5",Bay Street Corridor,"0","0","0","0","715421","638786","0","647456","5","647456"
"133",Bayview Village,"1606287","578594","918553","1460356","643769","446741","0","869892","133","869892"
"135",Bayview Woods-Steeles/Hillcrest Village,"1157319","529473","669588","1093361","583342","585832","0","834055","135","834055"
"114",Bedford Park-Nortown,"1812216","956680","1237777","1668469","939652","717772","0","1597972","114","1597972"
"76",Beechborough-Greenbrook,"671428","0","512108","579078","637782","284653","0","603157","76","603157"
"7",Bendale,"604419","385436","504690","563729","970141","309568","0","506208","7","506208"
"37",Birchcliffe-Cliffside,"759330","560973","601250","649860","577824","524557","695010","720817","37","720817"
"155",Black Creek,"611482","311215","516908","670447","503966","143282","0","468267","155","468267"
"51",Briar Hill-Belgravia,"625120","685408","560013","646748","581961","303348","0","546542","51","546542"
"128",Broadview North,"919613","719024","669637","741008","650598","464136","0","726197","128","726197"
"123",Brookhaven-Amesbury,"679887","0","553477","624734","425118","236515","0","566672","123","566672"
"85",Cabbagetown-South St. James Town,"1377604","977688","1080015","1450581","797405","399995","0","737127","85","737127"
"50",Caledonia-Fairbank,"619437","0","619333","641871","684044","0","0","627823","50","627823"
"62",Casa Loma,"2419618","1446774","1389523","2314633","1220219","981627","0","1699471","62","1699471"
"39",Church-Yonge Corridor,"0","984767","0","0","1151494","489168","0","521976","39","521976"
"69",Clairlea-Birchmount,"661031","557004","561168","585130","380471","306817","473476","581958","69","581958"
"120",Clanton Park,"1089826","0","0","990259","420967","383747","0","864541","120","864541"
"36",Cliffcrest,"743895","519704","538690","684817","548107","511678","0","713485","36","713485"
"97",Danforth Village-East York,"757071","538625","694199","725889","766523","361392","0","724069","97","724069"
"107",Don Valley Village/Pleasant View,"993109","566763","708916","972721","736946","355337","0","700222","107","700222"
"33",Dorset Park,"556006","443525","406664","601261","891576","203150","0","428737","33","428737"
"3",Dovercourt/Davenport/Junction,"777381","581274","659964","798808","684178","315891","731612","689349","3","689349"
"8",Downsview,"703037","400723","523021","674819","455453","240442","0","537171","8","537171"
"105",Dufferin Grove/Little Portugal,"939930","727822","828974","860081","840671","386926","828543","735724","105","735724"
"94",East End-Danforth,"851438","606176","687305","754072","701317","321407","589892","736420","94","736420"
"146",Edenbridge-Humber Valley,"1540887","509018","732460","0","769925","390293","0","1227462","146","1227462"
"25",Eglinton East,"606063","415267","504025","617466","0","207314","0","442535","25","442535"
"150",Elms-Old Rexdale,"585625","302341","470500","534810","557033","156027","0","438573","150","438573"
"121",Englemount-Lawrence,"1196668","639594","0","1100228","458323","365353","0","837284","121","837284"
"144",Eringate-Centennial-West Deane,"748277","505161","614455","744131","0","283733","0","626646","144","626646"
"142",Etobicoke West Mall,"828562","427596","559207","718395","0","326746","720535","551269","142","551269"
"109",Flemingdon Park,"0","467444","663547","0","230406","257874","0","279690","109","279690"
"56",Forest Hill North,"1688345","932103","0","1459346","1245881","351572","0","1467169","56","1467169"
"57",Forest Hill South,"2689573","1720730","1765482","2559695","1055569","672973","0","2207725","57","2207725"
"23",Guildwood,"702448","398918","498469","577317","0","497309","0","633749","23","633749"
"132",Henry Farm,"1168396","448401","0","0","296690","320521","0","523138","132","523138"
"100",High Park North/Junction,"1061869","628948","753978","1043723","888777","446764","0","832520","100","832520"
"101",High Park-Swansea,"1290869","616986","923986","1358338","1086360","433231","0","917635","101","917635"
"147",Humber Heights-Westmount,"846359","516160","619958","722380","0","347495","0","683545","147","683545"
"53",Humewood-Cedarvale,"1354999","0","748581","1275671","730588","733015","0","1164596","53","1164596"
"34",Ionview,"600257","541259","560882","662360","460177","194129","0","540599","34","540599"
"48",Islington/City Centre North,"1009516","593879","598947","925617","360542","420306","0","723882","48","723882"
"47",Islington/City Centre South,"850233","677382","633617","835457","804530","359820","0","596239","47","596239"
"78",Keelesdale-Eglinton West,"557396","0","583207","733905","691248","241723","0","548693","78","548693"
"35",Kennedy Park,"568015","399205","516757","657431","609741","212945","0","479983","35","479983"
"81",Kensington-Chinatown,"1040243","865030","1000848","962775","856080","491954","1040891","678852","81","678852"
"149",Kingsview Village-The Westway,"747203","472464","470118","657766","700882","224214","0","518235","149","518235"
"141",Kingsway South,"1469999","923545","680362","0","1351974","753558","0","1305894","141","1305894"
"74",Lambton Baby Point,"1050192","659798","670960","951066","804151","0","0","921014","74","921014"
"16",L'Amoreaux/Steeles/Milliken,"799325","473021","602554","779715","575789","306259","620472","600343","16","600343"
"115",Lansing-Westgate,"1440207","0","805790","1533009","0","445547","0","1034460","115","1034460"
"54",Lawrence Park North,"1410355","1334306","1020672","1351799","1076154","503469","0","1303552","54","1303552"
"55",Lawrence Park South,"1953066","1025905","937240","1863628","737234","797554","0","1765046","55","1765046"
"129",Leaside-Bennington,"1544423","876333","936502","0","649716","414135","0","1347991","129","1347991"
"106",Little Italy/Trinity-Bellwoods,"1203442","865844","977886","1006680","1021519","477151","948079","972057","106","972057"
"138",Long Branch,"805373","589839","704450","803594","550634","304536","0","678386","138","678386"
"124",Maple Leaf,"827983","513803","538364","781171","456876","0","0","764400","124","764400"
"46",Mimico,"723707","744801","626484","713009","579477","463060","0","561525","46","561525"
"27",Morningside,"606181","353172","527593","570067","273450","218640","0","505994","27","505994"
"83",Moss Park/Regent Park,"1032171","776667","1116487","1200311","625264","469333","0","566032","83","566032"
"73",Mount Dennis,"506812","572780","471319","475151","398604","251422","0","419426","73","419426"
"153",Mount Olive-Silverstone-Jamestown/Thistletown,"595065","395748","479362","600469","497207","240225","0","466658","153","466658"
"59",Mount Pleasant East,"1324018","929472","955365","1043547","836265","466272","0","1104748","59","1104748"
"139",New Toronto,"691809","463357","600153","691935","579513","252896","0","622174","139","622174"
"82",North St. James Town,"0","832942","0","0","540811","487847","0","544475","82","544475"
"68",Oakridge,"524187","0","468880","531432","525188","282025","0","473590","68","473590"
"52",Oakwood-Vaughan,"722054","0","649463","776198","683687","0","0","699530","52","699530"
"131",O'Connor-Parkview,"803837","557333","564537","666218","654319","258406","0","746882","131","746882"
"98",Old East York,"825189","0","622622","707466","808337","0","0","799149","98","799149"
