Toronto — Average Value of Owner-occupied Dwellings ($)  
2006
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,
Agincourt/Malvern,"363,136","313,552","265,419","178,583","352,759","293,603",0,"311,649",
Ajax/Pickering,"346,653","264,478","229,969","200,787","331,075","217,063",0,"318,281",
Alderwood,"338,787","348,036","311,932","148,302","341,374","361,277",0,"338,998",
Aurora,"471,720","282,922","321,232","233,437","381,918","282,468",0,"421,051",
Banbury-Don Mills/York Mills,"1,020,131","392,273","389,950","358,003","557,483","350,731",0,"775,044",
Bathurst Manor,"491,687","348,724","331,718","250,654","441,804","348,003",0,"440,550",
Bay Street Corridor,0,0,0,"312,463",0,"406,859",0,"314,681",
Bayview Village,"635,946","367,746","310,599","285,777","508,537","306,938",0,"470,654",
Bayview Woods-Steeles/Hillcrest Village,"533,790","338,218","285,248","367,494","476,067","300,935",0,"413,859",
Bedford Park-Nortown,"890,992","571,284","566,617","493,635","711,620","625,053",0,"811,798",
Beechborough-Greenbrook,"330,931","301,682",0,"166,060","319,432","333,670",0,"308,931",
Bendale,"319,468","265,017","267,251","216,289","297,759","262,292",0,"291,974",
Birchcliffe-Cliffside,"409,673","301,241","320,645","256,497","328,407","340,924",0,"386,119",
Black Creek,"397,196","335,324","234,957","131,230","358,937","285,910",0,"303,157",
Bradford/West Gwillimbury/New Tecumseth,"328,846","231,913","224,230","188,088","277,322","355,607","242,688","314,587",
Brampton (East),"405,168","282,260","227,566","173,752","429,768","289,139","314,161","347,042",
Brampton (West),"354,212","281,504","249,192","221,802","331,368","260,206","502,267","324,279",
Briar Hill-Belgravia,"317,139","316,474",0,"193,779","338,266","314,417",0,"291,474",
Broadview North,"475,095","337,913","497,557","252,929","412,563","392,847",0,"402,485",
Bronte,"431,611","340,784","383,355","345,325","465,758","280,394",0,"414,430",
Brookhaven-Amesbury,"341,713","316,204",0,"159,506","365,925","334,644",0,"304,034",
Cabbagetown-South St. James Town,"772,369","554,735","502,278","236,541","474,866","502,902",0,"410,693",
Caledon,"476,649","307,751","267,088",0,"349,496","542,258","564,804","457,586",
Caledonia-Fairbank,"307,476","484,103",0,0,"338,663","313,884",0,"335,600",
Casa Loma,"1,490,421","676,404","865,411","546,964","1,033,405","748,894",0,"1,091,572",
Churchill Meadows/Erin Mills,"467,064","318,896","286,452","252,567","425,996","300,213",0,"395,130",
Church-Yonge Corridor,"598,382","441,759","531,895","289,486",0,"613,068",0,"312,838",
Clairlea-Birchmount,"343,713","294,642","292,295","79,451","303,812","304,386",0,"326,903",
Clanton Park,"511,330",0,0,"259,728","488,279","294,937",0,"481,416",
Clarkson/Lorne Park,"629,468","280,487","256,168","215,118","541,798","227,046","533,308","498,629",
Cliffcrest,"389,305","259,790","246,381","444,136","326,994","315,618",0,"376,065",
Cooksville,"514,703","299,815","257,701","176,351","416,349","312,790",0,"407,569",
Crescent Town,"302,699","210,821","199,835","154,857","318,833","244,435",0,"209,956",
Danforth Village-East York,"349,801","320,536","338,155",0,"403,641","340,301",0,"344,486",
Don Valley Village/Pleasant View,"456,500","371,000","283,867","215,595","400,678","350,801",0,"354,840",
Dorset Park,"301,141","280,238","273,271","174,162","291,180","256,612",0,"257,737",
Dovercourt/Davenport/Junction,"366,281","325,577","307,310","233,840","375,167","328,955","360,525","337,641",
Downsview,"404,859","321,879","237,422","162,496","383,548","329,437",0,"328,699",
Dufferin Grove/Little Portugal,"420,295","390,983","340,509","204,560","446,565","376,148",0,"379,608",
East End-Danforth,"440,782","343,823","350,704","239,591","405,068","333,805",0,"380,968",
East Gwillimbury/Newmarket,"387,501","279,449","269,467","237,201","348,155","269,058","308,021","360,608",
Edenbridge-Humber Valley,"913,247","333,129","408,596","242,941","1,075,012","439,134",0,"779,137",
Eglinton East,"318,414","296,315","228,277","169,904","376,650","326,087",0,"261,019",
Elms-Old Rexdale,"311,744","262,187","191,295","157,853","310,577","228,246",0,"257,301",
Englemount-Lawrence,"566,978",0,"299,977","255,828","571,972","329,295",0,"446,340",
Eringate-Centennial-West Deane,"412,200","336,917","293,098","210,216","344,680",0,0,"360,777",
Etobicoke West Mall,"483,236","287,939","347,812","217,575","391,165",0,0,"343,944",
Flemingdon Park,0,"374,547","263,634","176,436",0,"166,630",0,"187,326",
Forest Hill North,"873,841",0,0,"322,616","807,646",0,0,"795,082",
Forest Hill South,"1,497,351","1,237,414","807,765","424,552",0,"650,651",0,"1,243,163",
Georgina,"269,706","234,698","199,855",0,"346,556","287,227","164,027","268,882",
Guildwood,"358,388","245,544","228,117","266,398","357,590","357,917",0,"329,823",
Henry Farm,"586,876",0,"242,382","171,795",0,0,0,"329,968",
High Park North/Junction,"509,307","381,540","314,327","287,552","552,521","433,703","345,857","438,132",
High Park-Swansea,"697,621","430,479","394,029","240,515","583,095","543,595",0,"530,209",
Humber Heights-Westmount,"449,297","369,688","339,747","241,477","414,687",0,0,"393,506",
Humewood-Cedarvale,"664,721","385,013",0,"464,808","476,694","356,908",0,"577,175",
Ionview,"326,116","359,289","231,134","140,232","380,407","254,999",0,"309,481",
Islington/City Centre North,"522,777","360,836","328,339","299,472","500,539","248,034",0,"434,621",
Islington/City Centre South,"441,935","359,057","388,406","250,487","365,815","706,352",0,"399,479",
Keelesdale-Eglinton West,"302,037","308,583",0,"146,677","285,515","354,137",0,"300,040",
Kennedy Park,"284,528","294,975","258,711","188,678","352,317","266,137",0,"265,166",
Kensington-Chinatown,"499,273","463,244","412,539","289,111","360,987","417,984",0,"361,067",
Kingsview Village-The Westway,"422,130","291,926","319,743","184,569","364,146","315,142",0,"310,000",
Kingsway South,"821,180","408,955","536,236","474,869","602,640","525,411",0,"749,003",
Lambton Baby Point,"570,145","353,803","341,278",0,"360,471","411,713",0,"492,556",
L'Amoreaux/Steeles/Milliken,"394,055","293,458","259,152","202,151","346,337","339,360",0,"314,642",
Lansing-Westgate,"632,525","368,527",0,"281,301","570,594","481,307",0,"511,843",
Lawrence Park North,"696,441","513,899","742,895","346,335","668,820","578,698",0,"648,913",
Lawrence Park South,"1,052,230","538,936","739,199","528,038","764,105","439,414",0,"962,759",
Leaside-Bennington,"793,622","471,634","500,139","267,067",0,"368,007",0,"687,903",
Little Italy/Trinity-Bellwoods,"509,611","434,453","413,727","315,063","542,560","473,806",0,"454,837",
Long Branch,"378,314","348,942","296,050","175,217","342,264","311,698",0,"343,409",
Malton,"349,406","276,152","237,738","172,180","365,527","291,253",0,"304,564",
Maple Leaf,"438,177","310,722","293,950",0,"396,628","363,806",0,"415,033",
Markham,"477,313","347,113","319,551","300,947","412,433","319,986","437,382","440,755",
Meadowvale,"376,600","296,404","228,567","197,419","359,873","283,378",0,"327,495",
Milton/Halton Hills,"400,393","276,872","255,819","225,838","348,230","230,751","570,747","369,151",
Mimico,"362,047","349,196","421,607","346,605","351,872","356,478",0,"359,135",
Mississauga Centre/Streetsville,"440,949","340,372","279,000","204,352","406,218","266,965","165,587","353,198",
Moore Park,"1,172,120","688,555","719,795","565,278","908,265","746,094",0,"917,897",
Morningside,"325,877","308,497","229,476","156,640","499,552","146,520",0,"291,096",
Moss Park/Regent Park,"515,191","423,440","379,270","288,596",0,"381,955",0,"337,696",
Mount Dennis,"281,797","242,247","357,869","167,724","276,430","302,600",0,"260,257",
Mount Olive-Silverstone-Jamestown/Thistletown,"331,077","278,026","206,947","164,267","401,628","285,730",0,"276,792",
Mount Pleasant East,"646,995","476,507","492,682","297,650","651,728","468,313",0,"551,676",
Mount Pleasant West,"638,825","495,903","539,458","322,783","646,547","402,398",0,"409,418",
New Toronto,"344,081","306,136","284,565","227,393","281,095","340,836",0,"328,529",
North St. James Town,0,0,"584,379","335,759",0,"387,181",0,"426,495",
Oakridge,"353,165","274,076",0,"174,207","279,349","271,778",0,"314,861",
Oakville (excl. Bronte),"543,666","303,037","309,794","277,061","386,561","213,573",0,"480,485",
Oakwood-Vaughan,"345,522","304,651",0,"274,650","450,028","314,941",0,"338,995",
O'Connor-Parkview,"402,932","314,327","297,207","188,199","294,944","331,693",0,"375,862",
Old East York,"391,925","396,828",0,0,"406,199","363,639",0,"392,866",
Orangeville/Mono,"337,767","211,543","187,503","193,420","281,435","193,868",0,"309,608",
Parkwoods-Donalda,"536,523","313,246","251,590","188,236","419,358","296,178",0,"403,292",
Playter Estates-Danforth,"588,842","392,469","460,519",0,"492,662","425,452",0,"466,288",
Port Credit,"475,858","299,669","370,483","273,848","405,425","353,686",0,"430,625",
Princess-Rosethorn,"705,273",0,0,0,"489,027",0,0,"701,606",
Rexdale-Kipling,"346,690","250,050",0,0,"306,672","300,627",0,"338,042",
Richmond Hill/Vaughan/King,"531,134","355,250","335,518","253,013","450,597","318,158","571,607","478,082",
Riverdale,"475,319","378,291","351,145","332,798","440,255","373,198","405,380","393,663",
Rockcliffe-Smythe,"309,639","312,630","148,705","215,128","295,242","387,321",0,"296,010",
Roncesvalles,"446,056","392,604","368,450","274,101","409,496","408,996",0,"403,121",
Rosedale,"1,779,140","1,206,734","1,074,732","466,206","1,401,195","574,898",0,"1,047,059",
Rouge,"386,469","283,869","255,587","168,963","427,264","272,223",0,"364,683",
Rustic/Pelmo Park/Humberlea,"406,222","402,277","268,501","267,223","368,707","335,822",0,"394,171",
Scarborough Village,"455,131","266,576","282,398","164,272","315,427","180,484",0,"303,643",
South Parkdale/King West,"498,127","396,483","347,090","266,185","402,842","357,930",0,"320,767",
St. Andrew-Windfields,"1,015,437","392,475","429,371","401,815","991,114","361,318",0,"850,785",
Stonegate-Queensway,"499,118","282,145","460,232","346,840","381,284","368,877",0,"480,386",
Tam O'Shanter-Sullivan,"407,079","297,136","241,131","261,725","359,622","319,517",0,"346,741",
The Beaches,"711,146","517,112","464,653","434,581","630,102","472,404",0,"591,038",
Thorncliffe Park,0,0,"295,875","197,454",0,0,0,"218,923",
University/Annex,"885,045","639,737","563,550","536,325","698,368","645,547",0,"627,902",
Uxbridge,"413,051","317,087","292,907",0,"347,313","230,315",0,"400,647",
Victoria Village,"451,454","430,468","286,297","187,303","398,815","207,966",0,"330,452",
Waterfront Communities-The Island,"201,520","466,224","342,288","317,425",0,"498,586",0,"321,437",
West Hill,"318,413","254,504","198,482","148,517","398,492","210,102",0,"274,324",
West Humber-Clairville,"342,267","289,141","240,184","170,246","413,224","330,000",0,"328,160",
Westminster-Branson,"547,591","339,700","315,262","253,311","393,936","321,439",0,"338,055",
Weston,"336,878","306,167","313,288","169,660","324,742","346,870",0,"297,650",
Wexford-Maryvale,"322,403",0,"235,511","205,877","357,913","302,706",0,"323,062",
Whitchurch/Stouffville,"516,572","307,131","304,138",0,"378,605","244,431",0,"495,718",
Willowdale East/Newtonbrook East,"617,218","436,138","481,746","278,103","604,201","355,891","253,644","419,330",
